Vessel Name,Voyage,Local Voyage,Service,ETA,ETD,Terminal,Cargo Volume,Expected Duration (hours),"Weather (0=dry,1=wet)"
MMSS 2507,09S55R,25071N,Feeder of IDTTI to SGSIN (TTIAPL),2/10/2023 20:43,3/10/2023 21:43,PSA TERMINAL,488,25.0,0
MARCO POLO 108,5408AR,PS165,South East Asia Feeder 49 (SEASIA49),2/10/2023 22:00,3/10/2023 12:00,PSA TERMINAL,239,14.0,0
EVER FAR,0AAN1W1MA,1557-016W,Asia South America East Coast 1 (SEAS),3/10/2023 1:00,3/10/2023 17:00,PSA TERMINAL,300,16.0,0
CMA CGM ARKANSAS,0BDFME1MA,0BDFME1MA,Asia South America East Coast 2 (SEAS2),3/10/2023 1:00,3/10/2023 21:00,PSA TERMINAL,436,20.0,0
SINAR BANDUNG,417J6N,795S,MALAYSIA FEEDER 3 (MA3APL),3/10/2023 1:00,4/10/2023 1:00,PSA TERMINAL,514,24.0,1
GANTA BHUM,179W0S,031N,Thailand Indonesia Express (RCLAPL),3/10/2023 4:00,3/10/2023 14:00,PSA TERMINAL,193,10.0,1
SAWASDEE CHITTAGONG,C4TQ1R,,South Asia Feeder 1 (SASIA1),3/10/2023 5:00,3/10/2023 12:00,PSA TERMINAL,135,7.0,0
BATAMINDO V,C43J0S,83368S,Batamindo Feeder Service (BATAMAPL),3/10/2023 4:46,3/10/2023 20:45,PSA TERMINAL,305,15.98333333,0
MAERSK NACKA,G4S6CN,338S,South East Asia Feeder 31 (SEASIA31),3/10/2023 5:00,4/10/2023 4:00,PSA TERMINAL,550,23.0,0
SUMBER JAYA 2515,1033QR,S363N,South East Asia Feeder 58 (SEASIA58),3/10/2023 7:00,3/10/2023 14:00,PSA TERMINAL,156,7.0,1
SINAR BINTAN,483W7N,820S,MSX BKX3 Butterfly service (MSXAPL),3/10/2023 7:00,4/10/2023 5:00,PSA TERMINAL,458,22.0,0
CMA CGM TARPON,1QY7KN1MA,1QY7KN1NC,China South East Asia Loop 1 (CS1CNC),3/10/2023 8:00,4/10/2023 9:00,PSA TERMINAL,608,25.0,1
CELANDINE,I1S8JS,,South East Asia Feeder 51 (SEASIA51),3/10/2023 8:00,3/10/2023 14:00,PSA TERMINAL,117,6.0,0
KOTA LAGU,40SQ5E,338E,South Asia Feeder 5 (SASIA5),3/10/2023 10:00,3/10/2023 12:00,PSA TERMINAL,42,2.0,1
KOTA NAZIM,0CS5VE1MA,014W,South Philippines Express (SPXCNC),3/10/2023 12:00,4/10/2023 12:00,PSA TERMINAL,551,24.0,1
TS VANCOUVER,13SJ6N,23003S,MALAYSIA FEEDER 3 (MA3APL),3/10/2023 12:00,3/10/2023 14:00,PSA TERMINAL,42,2.0,0
NORFOLK,06LF1S1MA,107,KIX ANL (KIXANL),3/10/2023 13:30,4/10/2023 21:30,PSA TERMINAL,756,32.0,0
KOTA DUNIA,2017ZE,0466E,South East Asia Feeder 70 (SEASIA70),3/10/2023 14:00,4/10/2023 15:00,PSA TERMINAL,535,25.0,0
BATAMINDO III,C45J0S,93367S,Batamindo Feeder Service (BATAMAPL),3/10/2023 14:55,3/10/2023 17:54,PSA TERMINAL,59,2.983333333,0
GOLDEN STAR 1,7233TN,6225S,South East Asia Feeder 13 (SEASIA13),3/10/2023 17:00,4/10/2023 9:00,PSA TERMINAL,384,16.0,1
MARCOPOLO 262,0932ZR,BS029,South East Asia Feeder 11 (SEASIA11),3/10/2023 17:00,4/10/2023 15:00,PSA TERMINAL,453,22.0,0
SAMUDRA BINTAN 88,W306FN,03K23P,South East Asia Feeder 1 (SEASIA1),3/10/2023 17:30,4/10/2023 8:30,PSA TERMINAL,321,15.0,1
XIN HUI ZHOU,0HM8DS1MA,178S,China Malaysia Service 2 (CMS2CNC),3/10/2023 20:00,4/10/2023 11:00,PSA TERMINAL,302,15.0,0
MARCOPOLO 148,5278AR,PS103,South East Asia Feeder 49 (SEASIA49),3/10/2023 22:00,4/10/2023 12:00,PSA TERMINAL,275,14.0,0
GSL ELIZABETH,545D7W,001W,PORT KELANG MUNDRA COLOMBO SERVICE (C3MAPL),3/10/2023 23:09,4/10/2023 22:09,PSA TERMINAL,481,23.0,0
WAN HAI 509,1QY7LS1MA,S130,China South East Asia Loop 1 (CS1CNC),4/10/2023 4:00,5/10/2023 4:00,PSA TERMINAL,474,24.0,0
PACIFIC SUN 1,X6T1YN,,South East Asia Feeder 2 (SEASIA2),4/10/2023 5:00,4/10/2023 7:00,PSA TERMINAL,38,2.0,0
WAN FU DA,4194YS,196S,Vietnam Singapore Feeder (VS2APL),4/10/2023 5:00,5/10/2023 9:00,PSA TERMINAL,557,28.0,0
AKA BHUM,0FB9ME1MA,016E,China India Express (CIX),4/10/2023 8:00,5/10/2023 4:00,PSA TERMINAL,407,20.0,0
MAERSK KWANGYANG,29SH4R,,SEA CHINA CHITTAGONG SERVICE (SO1APL),4/10/2023 8:00,5/10/2023 11:00,PSA TERMINAL,524,27.0,0
MCP LINZ,3452VR,102E,South East Asia Feeder 8 (SEASIA8),4/10/2023 8:00,4/10/2023 12:00,PSA TERMINAL,84,4.0,1
TBN FEEDER 12,OQTZ4R,,AF Service (AFSRV),4/10/2023 8:00,4/10/2023 16:00,PSA TERMINAL,152,8.0,1
SINAR BUKITTINGI,3442VR,,South East Asia Feeder 8 (SEASIA8),4/10/2023 9:00,5/10/2023 10:00,PSA TERMINAL,478,25.0,0
MARCOPOLO 906,179J4S,OS017,Englee Feeder Service (MAREXT),4/10/2023 10:35,4/10/2023 11:35,PSA TERMINAL,19,1.0,0
SINAR SUNDA,4164YN,150N,Vietnam Singapore Feeder (VS2APL),4/10/2023 12:00,5/10/2023 16:00,PSA TERMINAL,508,28.0,0
MARCOPOLO 182,70655R,TS042,Feeder of IDTTI to SGSIN (TTIAPL),4/10/2023 14:00,5/10/2023 15:00,PSA TERMINAL,482,25.0,0
NAJADE,434D5W,45834E,MADRAS SERVICE 2 (MD2APL),4/10/2023 16:00,5/10/2023 20:00,PSA TERMINAL,573,28.0,0
MTT MUARA,2354QE,215W,South East Asia Feeder 18 (SEASIA18),4/10/2023 17:00,4/10/2023 18:00,PSA TERMINAL,20,1.0,1
MARCO POLO 128,5468AR,PS371,South East Asia Feeder 49 (SEASIA49),4/10/2023 17:30,5/10/2023 7:30,PSA TERMINAL,283,14.0,0
SINAR SIANTAR,87353W,022N,SGN-BEL Feeder Service (SGBEAPL),4/10/2023 18:00,5/10/2023 19:00,PSA TERMINAL,543,25.0,1
APL TBN 18,3312VR,,South East Asia Feeder 8 (SEASIA8),4/10/2023 19:00,4/10/2023 20:00,PSA TERMINAL,19,1.0,0
ATI BHUM,189E1N,301NE,RCL Palembang Pasir Gudang Service (RPE2ATI),4/10/2023 22:00,5/10/2023 10:00,PSA TERMINAL,271,12.0,1
ISEACO GENESIS,114KIS,204W,GAF Central Vietnam service (CVS) (UIH1),5/10/2023 0:00,5/10/2023 10:00,PSA TERMINAL,218,10.0,0
KOTA LUMBA,0HG8FW1MA,0106W,Asia Subcontinent Express 9 (AS9),5/10/2023 6:00,6/10/2023 2:00,PSA TERMINAL,391,20.0,0
MAERSK NASSJO,2536CN,339N,South East Asia Feeder 31 (SEASIA31),5/10/2023 5:30,5/10/2023 14:31,PSA TERMINAL,199,9.016666667,0
HR HERA,76TQ1S,0056S,South Asia Feeder 1 (SASIA1),5/10/2023 6:30,5/10/2023 7:30,PSA TERMINAL,18,1.0,0
SCION MAFALDA,09PD3S1MA,3723S,PAX ANL (PAXANL),5/10/2023 7:00,6/10/2023 17:00,PSA TERMINAL,644,34.0,0
SOUL OF LUCK,87253E,412N,SGN-BEL Feeder Service (SGBEAPL),5/10/2023 9:00,5/10/2023 10:00,PSA TERMINAL,19,1.0,0
LL 2508,2068DR,39 JN,South East Asia Feeder 68 (SEASIA68),5/10/2023 9:00,5/10/2023 13:00,PSA TERMINAL,79,4.0,0
MARCO POLO 220,161J4S,OS078,Englee Feeder Service (MAREXT),5/10/2023 9:00,6/10/2023 10:00,PSA TERMINAL,603,25.0,1
SINAR SORONG,300H9N,0191S,South East Asia Feeder 75 (SEASIA75),5/10/2023 10:00,6/10/2023 10:00,PSA TERMINAL,535,24.0,0
DANU BHUM,0RCB9N1MA,524S,Singapore Songkhla Express (RSECNC),5/10/2023 13:00,6/10/2023 9:00,PSA TERMINAL,417,20.0,1
LL 2506,K0S8DR,,South East Asia Feeder 68 (SEASIA68),5/10/2023 14:00,5/10/2023 15:00,PSA TERMINAL,20,1.0,0
SUNRISE DRAGON,I9S8JS,,South East Asia Feeder 51 (SEASIA51),5/10/2023 18:34,6/10/2023 0:34,PSA TERMINAL,116,6.0,0
SOL STRIDE,C6SR3N,2308S,Straits Bengal Service (SBSAPL),5/10/2023 19:00,5/10/2023 20:00,PSA TERMINAL,19,1.0,0
MARCOPOLO 258,5458AR,PS040,South East Asia Feeder 49 (SEASIA49),5/10/2023 21:10,6/10/2023 11:10,PSA TERMINAL,302,14.0,1
WIDE JULIET,2665UE,033E,FAS Hercules Service (GULFHERC),5/10/2023 22:00,6/10/2023 16:00,PSA TERMINAL,347,18.0,0
SEAMAX STRATFORD,0FB9TW1MA,125W,China India Express (CIX),6/10/2023 1:30,7/10/2023 1:30,PSA TERMINAL,519,24.0,0
CMA CGM WHITE SHARK,0XL3RS1MA,0XL3RS1NC,Korea China South East Asia Service (KCSCNC),6/10/2023 2:00,7/10/2023 1:00,PSA TERMINAL,463,23.0,0
CMA CGM VALENCIA,0BYF6N1MA,0BYF6N1NC,China Korea Malaysia Service (KCM2CNC),6/10/2023 18:00,7/10/2023 12:00,PSA TERMINAL,452,18.0,1
SAFEEN PIONEER,42SD5W,068W,MADRAS SERVICE 2 (MD2APL),6/10/2023 11:00,6/10/2023 19:00,PSA TERMINAL,160,8.0,1
DANUM 159,422F8R,59224A,PENANG PORT KELANG SINGAPORE SERVICE (MA5APL),6/10/2023 14:00,6/10/2023 15:00,PSA TERMINAL,20,1.0,0
KOTA RAKYAT,3592XN,0219S,South East Asia Feeder 9 (SEASIA9),6/10/2023 11:00,7/10/2023 11:00,PSA TERMINAL,447,24.0,0
NAP 310,82S8AR,,South East Asia Feeder 49 (SEASIA49),6/10/2023 15:00,7/10/2023 16:00,PSA TERMINAL,520,25.0,0
HARBOUR RUBY,0707UR,RB174,South East Asia Feeder 48 (SEASIA48),6/10/2023 13:06,6/10/2023 15:06,PSA TERMINAL,46,2.0,1
RITA,187I4N,040S,Manila Singapore Feeder (SSLAPL),6/10/2023 15:00,8/10/2023 11:00,PSA TERMINAL,1016,44.0,1
CTP FORTUNE,0RMAIR1MA,286S,RCL Manila Singapore Express (RMNCNC),6/10/2023 20:00,8/10/2023 2:00,PSA TERMINAL,573,30.0,0
INDO SUKSES 51,2942BE,086W,South East Asia Feeder 4 (SEASIA4),6/10/2023 20:30,7/10/2023 16:30,PSA TERMINAL,415,20.0,0
CAP ANDREAS,2635UW,005W,FAS Hercules Service (GULFHERC),6/10/2023 22:00,7/10/2023 18:00,PSA TERMINAL,421,20.0,0
MCP SALZBURG,09PCYS2MA,3623S,PAX ANL (PAXANL),6/10/2023 22:30,8/10/2023 22:30,PSA TERMINAL,946,48.0,0
JEJU ISLAND,0QREGN1MA,2304S,Korea Indonesia 2 Service (KI2CNC),7/10/2023 0:30,8/10/2023 0:30,PSA TERMINAL,587,24.0,1
FSL SINGAPORE,3768IN,081E,South East Asia Feeder 61 (SEASIA61),7/10/2023 3:00,8/10/2023 3:00,PSA TERMINAL,469,24.0,0
SKY WIND,681A5N,027S,GAF Bangladesh Feeder SBFX3 (SBFX3),7/10/2023 15:45,7/10/2023 18:45,PSA TERMINAL,57,3.0,0
HARBOUR EXPRESS,2394ZR,HE162,South East Asia Feeder 20 (SEASIA20),7/10/2023 9:00,7/10/2023 15:00,PSA TERMINAL,112,6.0,0
KOTA JOHAN,2362YN,0397S,South East Asia Feeder 10 (SEASIA10),7/10/2023 9:00,8/10/2023 10:00,PSA TERMINAL,496,25.0,1
NAP 910,193J4S,,Englee Feeder Service (MAREXT),7/10/2023 11:00,8/10/2023 12:00,PSA TERMINAL,510,25.0,0
SOL MALAYSIA,B9TQ1S,2318S,South Asia Feeder 1 (SASIA1),7/10/2023 13:35,7/10/2023 16:35,PSA TERMINAL,72,3.0,1
BRIGHT LAEM CHABANG,93556S,115N,Semarang Feeder Service (SRGAPL),7/10/2023 15:00,8/10/2023 15:00,PSA TERMINAL,472,24.0,0
MARCOPOLO 256,5178AR,,South East Asia Feeder 49 (SEASIA49),7/10/2023 16:20,7/10/2023 17:20,PSA TERMINAL,21,1.0,0
NAP 904,67SJ4S,,Englee Feeder Service (MAREXT),7/10/2023 17:00,8/10/2023 18:00,PSA TERMINAL,549,25.0,1
MAERSK CAPE TOWN,08YG7W1MA,338W,New Africa Express (NWAFEX),7/10/2023 19:00,8/10/2023 14:30,PSA TERMINAL,374,19.5,0
CMA CGM MISSOURI,0BDG3W1MA,0BDG3W1MA,Asia South America East Coast 2 (SEAS2),8/10/2023 2:30,8/10/2023 20:30,PSA TERMINAL,362,18.0,0
KOTA RUKUN,126D3R,0112E,SINGAPORE MONGLA SERVICE (MGBAPL),8/10/2023 4:00,8/10/2023 23:00,PSA TERMINAL,337,19.0,0
KOTA NANHAI,0CS5XE1MA,0080W,South Philippines Express (SPXCNC),8/10/2023 4:00,9/10/2023 2:00,PSA TERMINAL,430,22.0,0
METHI BHUM,X4T1YN,403S,South East Asia Feeder 2 (SEASIA2),8/10/2023 6:00,8/10/2023 11:00,PSA TERMINAL,102,5.0,0
KOTA RIA,3833WW,0551E,South East Asia Feeder 15 (SEASIA15),8/10/2023 6:37,8/10/2023 8:37,PSA TERMINAL,40,2.0,1
X-PRESS HOOGLY,3868IN,23104S,South East Asia Feeder 61 (SEASIA61),8/10/2023 14:00,8/10/2023 15:00,PSA TERMINAL,21,1.0,0
MARCO POLO 252,5208AR,,South East Asia Feeder 49 (SEASIA49),8/10/2023 14:00,9/10/2023 4:00,PSA TERMINAL,275,14.0,0
SINAR PENIDA,N1S7KS,154N,South East Asia Feeder 43 (SEASIA43),8/10/2023 14:00,9/10/2023 8:00,PSA TERMINAL,372,18.0,1
ANTWERP BRIDGE,06LF5S1MA,225,KIX ANL (KIXANL),8/10/2023 20:00,10/10/2023 7:00,PSA TERMINAL,744,35.0,0
EVER URSULA,04IFKE1MA,189E,Asea Kenya (ASEA2),9/10/2023 0:00,9/10/2023 20:00,PSA TERMINAL,453,20.0,1
PADIAN 4,2568BS,0010S,South East Asia Feeder 69 (SEASIA69),9/10/2023 6:00,9/10/2023 7:00,PSA TERMINAL,21,1.0,1
ROSA,0958ER,339N,South East Asia Feeder 67 (SEASIA67),9/10/2023 6:00,10/10/2023 4:00,PSA TERMINAL,441,22.0,0
EVER LENIENT,0AAN3W1MA,1558-057W,Asia South America East Coast 1 (SEAS),9/10/2023 9:30,9/10/2023 21:30,PSA TERMINAL,247,12.0,0
CAPE FORTIUS,409A3W,112E,GAF Bangladesh Feeder SBFX1 (SBFX1),9/10/2023 10:00,10/10/2023 17:00,PSA TERMINAL,670,31.0,0
MARCOPOLO 910,151J4S,,Englee Feeder Service (MAREXT),9/10/2023 11:00,10/10/2023 12:00,PSA TERMINAL,469,25.0,0
KOTA PAHLAWAN,0BDG5W1MA,0034W,Asia South America East Coast 2 (SEAS2),9/10/2023 12:00,10/10/2023 6:00,PSA TERMINAL,416,18.0,1
KOTA HANDAL,2548BS,0677S,South East Asia Feeder 69 (SEASIA69),9/10/2023 19:00,10/10/2023 19:00,PSA TERMINAL,493,24.0,1
KOTA HAPAS,2598BN,0046N,South East Asia Feeder 69 (SEASIA69),9/10/2023 19:00,10/10/2023 19:00,PSA TERMINAL,495,24.0,0
COSCO SHIPPING NEBULA,0PFLEE1MA,022E,French Asia Line 7 (FAL7),9/10/2023 21:00,10/10/2023 21:00,PSA TERMINAL,575,24.0,0
APL TBN 68,419J6N,796S,MALAYSIA FEEDER 3 (MA3APL),10/10/2023 1:00,11/10/2023 1:00,PSA TERMINAL,460,24.0,0
KOTA AZAM,2334QE,2320W,South East Asia Feeder 18 (SEASIA18),10/10/2023 3:06,10/10/2023 9:06,PSA TERMINAL,134,6.0,0
EVER DAINTY,04IFTW1MA,174W,Asea Kenya (ASEA2),10/10/2023 5:00,10/10/2023 17:00,PSA TERMINAL,235,12.0,0
MAERSK HAI PHONG,H4S6CN,339S,South East Asia Feeder 31 (SEASIA31),10/10/2023 5:00,11/10/2023 4:00,PSA TERMINAL,453,23.0,0
MTT SAMALAJU,3272VR,23103S,South East Asia Feeder 8 (SEASIA8),10/10/2023 8:00,10/10/2023 9:00,PSA TERMINAL,24,1.0,0
LADY OF LUCK,185W0S,225N,Thailand Indonesia Express (RCLAPL),10/10/2023 8:00,10/10/2023 18:00,PSA TERMINAL,212,10.0,0
SINAR BAJO,3382VR,004E,South East Asia Feeder 8 (SEASIA8),10/10/2023 11:00,11/10/2023 12:00,PSA TERMINAL,523,25.0,0
HYUNDAI VOYAGER,0QREIN1MA,138N,Korea Indonesia 2 Service (KI2CNC),10/10/2023 21:00,11/10/2023 21:00,PSA TERMINAL,563,24.0,1
APL DUBLIN,0PPGPE1MA,0PPGPE1MA,Pacific East Coast 2 (PEX2),11/10/2023 7:00,12/10/2023 7:00,PSA TERMINAL,502,24.0,0
CMA CGM BLUE WHALE,1QY7NS1MA,1QY7NS1NC,China South East Asia Loop 1 (CS1CNC),11/10/2023 9:00,12/10/2023 9:00,PSA TERMINAL,454,24.0,0
KOTA PELANGI,0BDFOE1MA,0034E,Asia South America East Coast 2 (SEAS2),11/10/2023 12:00,12/10/2023 7:00,PSA TERMINAL,379,19.0,0
SUMBER JAYA 2518,0983QR,S364N,South East Asia Feeder 58 (SEASIA58),11/10/2023 13:00,11/10/2023 17:00,PSA TERMINAL,76,4.0,0
SOL PIONEER,107R3N,2306S,Straits Bengal Service (SBSAPL),11/10/2023 14:00,11/10/2023 18:00,PSA TERMINAL,81,4.0,0
NORDBORG MAERSK,2456CN,340N,South East Asia Feeder 31 (SEASIA31),11/10/2023 15:00,12/10/2023 0:01,PSA TERMINAL,211,9.016666667,1
X-PRESS KAILASH,41SQ5E,23039E,South Asia Feeder 5 (SASIA5),11/10/2023 19:00,12/10/2023 19:00,PSA TERMINAL,472,24.0,0
ANL DARWIN TRADER,09PCYS1MA,0012S,PAX ANL (PAXANL),12/10/2023 3:00,14/10/2023 3:00,PSA TERMINAL,1065,48.0,0
BALTIC NORTH,04IFME1MA,04IFME1MA,Asea Kenya (ASEA2),12/10/2023 5:00,12/10/2023 18:00,PSA TERMINAL,305,13.0,0
FELIXSTOWE,0HG8HW1MA,40W,Asia Subcontinent Express 9 (AS9),12/10/2023 9:00,13/10/2023 2:00,PSA TERMINAL,407,17.0,1
SINDO GARUDA KENCANA,2018DR,261 JN,South East Asia Feeder 68 (SEASIA68),12/10/2023 8:03,13/10/2023 12:03,PSA TERMINAL,660,28.0,1
DANUM 160,420F8R,60209A,PENANG PORT KELANG SINGAPORE SERVICE (MA5APL),12/10/2023 9:00,12/10/2023 17:00,PSA TERMINAL,164,8.0,0
NAP 902,213J4S,,Englee Feeder Service (MAREXT),12/10/2023 11:00,13/10/2023 12:00,PSA TERMINAL,494,25.0,1
MAERSK VARNA,I4S8JS,,South East Asia Feeder 51 (SEASIA51),12/10/2023 11:02,12/10/2023 17:02,PSA TERMINAL,120,6.0,0
X-PRESS BARDSEY,0FH9KE1MA,23008E,Asia Subcontinent Express 8 (AS8),12/10/2023 12:00,13/10/2023 21:00,PSA TERMINAL,693,33.0,0
MARCOPOLO 268,183J4S,,Englee Feeder Service (MAREXT),12/10/2023 13:00,13/10/2023 14:00,PSA TERMINAL,514,25.0,0
QINGDAO TOWER,0XL3TS1MA,0XL3TS1NC,Korea China South East Asia Service (KCSCNC),13/10/2023 2:00,14/10/2023 1:00,PSA TERMINAL,465,23.0,0
INDO SUKSES 50,2962BE,,South East Asia Feeder 4 (SEASIA4),13/10/2023 2:00,14/10/2023 22:00,PSA TERMINAL,823,44.0,0
KOTA RAJIN,127D3R,0300S,SINGAPORE MONGLA SERVICE (MGBAPL),13/10/2023 7:30,14/10/2023 15:30,PSA TERMINAL,592,32.0,0
